,HF_scaled,Bertelsmann_scaled,R&DExpenditure_scaled,Researchers_scaled,TI_scaled,GDP
2,0.26383613622132435,0.28805592417098885,-0.9058638136427359,-0.8690965839969109,-0.5706751768637249,low
5,0.2513141120960303,-1.011212410143752,-1.0062232631404695,-0.7194519135909279,-0.5706751768637249,high
9,-0.3121769735422345,-0.032915101367475406,-0.819849549807726,-0.6526493428847844,-0.4250429358836646,low
11,0.5768867393536932,0.8586710806838139,0.2627287415265884,0.5193589044721582,-0.1337784539235439,medium
12,-0.7128817455516661,-1.3734411492045897,-0.9738755327226766,-0.9575092230561504,-1.6629169842141776,low
14,-0.37478709416870826,1.0160098186928652,0.45084585919350717,0.3329355101410581,0.30311826901663713,medium
15,1.165421873242547,1.8698347036219825,2.1985897541569663,1.6159289318650392,1.104095594406969,medium
17,-1.4892472413199411,-1.2098088616751768,-0.04964383504452973,-0.5081435865434791,-0.6434912973537551,low
18,1.5285605728760938,1.8677368537818608,1.30916929302099,1.5308581944934565,2.1235212812673914,medium
20,1.4409064039990318,0.04680319255711068,-0.6492233256238903,-0.0367683580703815,1.0312794739169389,low
22,0.07600577434190303,0.6425925471513838,1.369184092220258,1.0773384308611242,0.15748602803657677,medium
23,-1.1511525899369826,0.36567636825545397,-0.023170619231022493,-0.8268468464915073,-0.20659457441357407,low
24,0.1761819673442607,-0.0517957499285612,-0.7467781681492552,-0.8271661053321596,-0.4250429358836646,low
28,0.26383613622132435,-0.657375070443398,0.16219874160485948,-0.5561735545838202,0.3759343895066673,low
29,0.12609387084308277,-0.9601647307008159,-0.9467390652602986,-0.5136267586818161,-0.9347557793138758,medium
30,-0.44991923892047697,-0.42940872115028333,-1.0448245091047603,-0.6330192137858436,-0.20659457441357407,high
32,-0.8756680591804984,-1.460851559209618,-1.1276172649309684,-0.9677398796369798,-1.0803880202939362,low
33,0.7521950771078204,1.3747421413535015,-0.22489387072335168,0.2770301086187361,1.0312794739169389,medium
35,1.2280319938690207,1.7062024160925693,0.493369764909692,1.140042934612313,1.104095594406969,medium
36,0.8398492459848823,0.24819677720869632,-0.5281704246813821,-0.4662614397292079,-0.49785905637369476,low
37,1.2655980662449047,-0.19864523873700882,1.5265263333795636,0.6792500537583421,0.23030214852660694,medium
39,-0.6627936490504872,-0.2238194368184569,-0.6258958176307425,-0.46982542321084336,-0.7891235383338154,low
41,-0.48748531129636086,0.5922441509884877,-0.5829171107839034,-0.4765857221295184,0.0846699075465466,medium
42,-1.3515049759416986,-1.740564871225709,-1.1395178945164248,-0.9584197366118506,-1.0803880202939362,low
43,-1.3264609276911097,-1.06715507254697,-0.6252515160289821,-0.9359313478081758,-0.9347557793138758,low
44,-0.4248751906698871,-1.121699168390108,-0.7776477948924214,-0.8073118973134527,0.5943827509767577,medium
45,-1.1761966381875724,-1.3671475996842275,-0.7507576780424811,-0.7298398860203085,-0.7891235383338154,low
46,-0.07425851516163437,0.07827094015892103,-0.9365439399147962,-0.8469046628906601,-0.5706751768637249,low
47,0.4266224498501558,1.3160023458301227,0.7693203509342383,0.7988808137873038,1.1769117148969992,medium
48,1.0276796078643036,-0.2664757169009108,-0.23205698853115822,-0.5542753498121519,1.3225439558770595,high
49,0.5267986428525134,1.0097162691725028,-0.24481037023659152,-0.3528869856429402,0.23030214852660694,medium
50,-0.6878376973010771,-0.6035302578803005,0.9004736269866958,1.0264913551586812,-1.1532041407839664,medium
52,-0.061736491036339436,0.6258097484304185,0.5648493426108725,0.48325191099275955,-0.35222681539363443,medium
53,3.1313796609138236,0.4796595429020108,3.0174781399472916,3.753531407880003,2.9973147271477534,high
54,0.07600577434190303,1.3201980455103635,0.4721078120515996,0.9865844431015519,0.44875050999669747,medium
55,0.13861589496837678,1.6684411189703967,2.3099781310730685,2.1629755869306684,1.1769117148969992,high
56,-1.000888300433446,0.16218493376374796,-0.9919159775719673,-0.9036387872291312,-0.4250429358836646,low
59,-0.2996549494169396,-0.9538711811804537,0.28270209118116,-0.1277342591595364,-0.5706751768637249,medium
60,1.6537808141290413,-0.15668824193459538,0.6282183001487163,0.7134653542212807,1.9050729197973009,high
61,0.025917677840723304,-0.10004629625133694,0.6242387902554904,-0.0043859901201040415,-0.20659457441357407,medium
65,-1.514291289570531,0.11813008712121408,-0.34795547665958326,-0.2798204720976059,-0.8619396588238456,low
66,-1.3890710483175834,-1.5342763036138418,-0.8397091991796339,-0.6298388753551026,-1.5172847432341172,low
67,-1.1386305658116884,-1.134286267430832,-0.2001261591497984,-0.48607173910912554,-0.7891235383338154,low
,0.26383613622132435,0.28805592417098885,-0.9058638136427359,-0.8690965839969109,-0.5706751768637249,low
5,0.2513141120960303,-1.011212410143752,-1.0062232631404695,-0.7194519135909279,-0.5706751768637249,high
9,-0.3121769735422345,-0.032915101367475406,-0.819849549807726,-0.6526493428847844,-0.4250429358836646,low
